Artist	Cover Artist	Full Title	Image Files	Plot	Publisher	Series	Writer	Issue No.	Barcode
Salvador Larroca	Salvador Larroca	Stark Resilient, Part 7: Sabot		Iron Man is under attack.  Stark knows his tech is being sabotaged by agents of Hammer Industries, but he's not sure who the agent is.  He keeps his demonstration on schedule, not realizing how Detroit Steel is being controlled and targets chosen.	Marvel Comics	Invincible Iron Man	Matt Fraction	31	75960606427403111
	Adi Granov	With Iron Hands, Part 3		Stark has a lot on his plate.  Not only is he dealing with Paladin, who is working for Rahimov, but the other Nick has equipped himself with major technology and it trying to take on a S.H.I.E.L.D. Helicarrier.  He even has the S.H.I.E.L.D. knowledge to make himself a serious threat.	Marvel Comics	Iron Man, Vol. 4	Stuart Moore	31	75960605653803111
	Kaare Andrews	Prisoner Number Zero			Marvel Comics	Wolverine, Vol. 3	Mark Millar	32	75960605458903211
		The Sons of Yinsen, Part Two: Gods & Monsters		Iron Man and the Sons of Yinsen face down Wong-Chu's men, heading after the despot himself.  When they catch up with him, they find he's not in the condition they expected, and Tony learns his allies may have different motives than they've claimed.	Marvel Comics	Iron Man, Vol. 3		32	75960604457303211
Salvador Larroca; Jamie McKelvie	Salvador Larroca	Stark Resilient, Part 8: Drones Scream Down / Again at the End of the World With Your Pal Pepper Potts		<b>Drones Scream Down</b> - Tony's team have determined exactly how the drones are being controlled and how they help out the targets.  Exploiting that will be extremely difficult; it means cutting life support to two members of the team.<br><br><b>Again at the End of the World With Your Pal Pepper Potts</b> - Pepper is hanging on to her life by a thread, when she has a conversation with the last entity one would expect.	Marvel Comics	Invincible Iron Man	Matt Fraction	32	75960606427403211
	Adi Granov	With Iron Hands, Part 4		Stark faces down the Overkill Mind, and manages to put Weir back in control.  His last task ahead then is Rasimov himself, which will be much harder; the genius knows Stark very, very well, and is able to give him an impossible choice to make.	Marvel Comics	Iron Man, Vol. 4	Stuart Moore	32	75960605653803211
	Adi Granov	Secret Invasion - War Machine: Weapon of S.H.I.E.L.D., Part 1		The Skrulls have attacked Tony Stark with a virus specifically designed to take all Starktech out of action.  This means that everything Starktech has been integrated with is now compromised, which doesn't leave much left.  In fact, all it leaves behind is James Rhodes, the War Machine, and one orbiting satellite.	Marvel Comics	Iron Man, Vol. 4	Christos N. Gage	33	725130103994
Salvador Larroca; Jamie McKelvie	Salvador Larroca	Stark Resilient, Part 9: The Man in the Iron Box / Good Morning, Tony		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA Tron Variant by BRANDON PETERSON The FINALE TO STARK: RESILIENT is here! Tony Stark must outrace Detroit Steel and a fleet of Hammer Murderdrones or it's the end of everything -- of him, his company, his legacy, and of the Iron Man itself. The only thing more shocking than the first 19 pages are the last 3. The end of the past is HERE. The birth of the future is NOW. The End Of All Things is just around the corner and it's got Tony Stark dead in its sights? 40 PGS./Rated A	Marvel Comics	Invincible Iron Man	Matt Fraction	33	75960606427403311
		Civil War - Vendetta, Part 3: Justice		Wolverine has tracked down Nitro, and notices one element of his powers that's been overlooked in the past.  His clothes and personal belongings come through the explosions intact, meaning there's a safe zone around him that can be exploited.  Wolverine stays close as he lays down the hurt, only to learn that Nitro was being given MGH free of charge.  Before he can find out who the supplier is, Janus and his two pals arrive to take Nitro into custody.	Marvel Comics	Wolverine, Vol. 3	Marc Guggenheim	44	75960605458904411
		Civil War - Vendetta, Part 4: Vengeance		Namor, ruler of Atlantis has come to the surface world to bring justice to Nitro for the death of his cousin, Namorita.  After knocking Wolverine out, he takes Nitro and heads to New Pangaea, a nearby undersea city.  With Iron Man's unwilling help, Wolverine follows.  Though Nitro deserves the tortures awaiting him at Namor's hand, someone supplied him with Mutant Growth Hormone, which made Stamford even worse.  If Wolverine is going to truly bring the culprits of the disaster in Stamford to justice, he needs to know who.	Marvel Comics	Wolverine, Vol. 3	Marc Guggenheim	45	75960605458904511
		Civil War - Vendetta, Part 5: Payback		Having left Nitro in Atlantis, Wolverine begins to carry out a one-man war against Damage Control, a company that cleans up the mess after superhuman battles.  With Forge's help, Wolverine learns that the company has been quietly escalating the scale and frequency of these clashes in order to boost their own profits.  In fact, the CEO of the company supplied Nitro with the MGH he used to devestate Stamford, CT... and Damage Control has the contract to clean it up.While Wolverine is the best at what he does, he's more accustomed to fighting a physical opponent.  How will he oppose a corporation?	Marvel Comics	Wolverine, Vol. 3	Marc Guggenheim	46	75960605458904611
		Civil War - Vendetta, Part 6: Payback		Wolverine is fighting for his life when the Sentry comes to contain him.  He puts up a good fight, but lands in S.H.I.E.L.D. custody.  They can't contain him for long, and he heads straight to Walter Declun.	Marvel Comics	Wolverine, Vol. 3	Marc Guggenheim	47	75960605458904711
Howard Chaykin	Arthur Suydam	Logan Dies, Part 2: Curaetar			Marvel Comics	Wolverine, Vol. 3	Marc Guggenheim	58	75960605458905811
Howard Chaykin	Arthur Suydam	Logan Dies, Part 3			Marvel Comics	Wolverine, Vol. 3	Marc Guggenheim	59	75960605458905911
		Vegas Bleeds Neon, Part 2		Tony continues his investigation into the disappearance of Mo Stanton, following the attack on his person.  He follows the nanotechnology to and old UFO crash site, and finds far more than he ever expected.	Marvel Comics	Iron Man, Vol. 3	Robin Laws	71	75960604457307111
		Onslaught, ...The World's Gone Mad			Marvel Comics	Spider-Man	Howard Mackie	72	75960601321007211
Jorge Pereira Lucas		Heavy Metal Genocide		Tony awakens on a spacecraft rushing to defend the Earth against a cometary threat.  He faces a very unexpected ally in the latest Titanium Man.	Marvel Comics	Iron Man, Vol. 3	John Jackson Miller	83	75960604457308311
		Civil War - Taking Civil Liberties, Part 2		Zemo's recruitment drive is working extremely well, and his team of Thunderbolts have grown into a substantial army.  He's still not completely accepted by all of the heroes, but he's been given enough leeway to meet his needs, including the need for a clandestine meeting with Captain America's group.	Marvel Comics	Thunderbolts, Vol. 1	Fabian Nicieza	104	75960605602610411
		Entity Mine		- Micheline. Layton. Two voices that defined Iron Man come together to tell the untold story of his most dire hour - Armor Wars 2!	Marvel Comics	Iron Man, Vol. 1		258	75960607421100211
		Hammered!		- Micheline. Layton. Two voices that defined Iron Man come together to tell the untold story of his most dire hour - Armor Wars 2!	Marvel Comics	Iron Man, Vol. 1		258	75960607421100311
		The Thought That Killed		- Micheline. Layton. Two voices that defined Iron Man come together to tell the untold story of his most dire hour - Armor Wars 2!	Marvel Comics	Iron Man, Vol. 1		258	75960607421100111
		Secret Wars II, Eve of Destruction		The Beyonder is getting increasingly frustrated, and is ready to destroy reality, despite the attempts of the Avengers to reason with him.	Marvel Comics	The Avengers, Vol. 1	Roger Stern	265
		Secret Wars II, ... And the War's Desolation!		The battle with the Beyonder is over, but the Earth has taken a beating.  It may be beyond the power of all assembled heroes to put things right, but they are going to try.  Their last, best hope for survival lies with the villain known as the Molecule Man.	Marvel Comics	The Avengers, Vol. 1	Roger Stern	266
		Time---And Time Again!			Marvel Comics	The Avengers, Vol. 1	Roger Stern	267
		The Kang Dynasty!			Marvel Comics	The Avengers, Vol. 1	Roger Stern	268
		Wild in the Streets!			Marvel Comics	The Avengers, Vol. 1	Roger Stern	270
		Assault on Atlantis			Marvel Comics	The Avengers, Vol. 1	Roger Stern	272
		Of Monsters and Men			Marvel Comics	Captain America, Vol. 1	J.M. DeMatteis	279
		Before the Fall!			Marvel Comics	Captain America, Vol. 1	J.M. DeMatteis	281
		Things Fall Apart!			Marvel Comics	Captain America, Vol. 1	J.M. DeMatteis	296
	Paul Neary	Stop Making Sense			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	307
Tom Morgan	Tom Morgan	Wired			Marvel Comics	Iron Man, Vol. 1	Len Kaminski	307	75960602454430711
		Death in Olympia!			Marvel Comics	The Avengers, Vol. 1	John Byrne	310	07148602458312
		Creatures of Love			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	316
		Death-Throws		Steve Rogers and Bernie Rosenthal both move out of 569 Leaman Place and Brooklyn Heights this issue.	Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	317
		Ultimatum			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	321	07148602453809
		Breakout			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	340
		Break-In			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	341	071486024538
		The Snake Pit			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	342
	Kieron Dwyer	The Bloodstone Hunt, Part 1: Night of Sin			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	357
		Acts of Vengeance, Remote Control			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	366
	Kieron Dwyer	Acts of Vengeance, Magnetic Repulsion			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	367
		Red Twilight		Magneto's gone crazy, attacking a peaceful mutant demonstration in Washington. So...how's this going to lead Crossbones and Machinesmith to the Red Skull? Plus: the origin of Machinesmith!	Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	368
		The Skeleton Crew			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	369
		House Calls		The Red Skull escapes from the prison Magneto put him in. And now the Red Skull and Crossbones and the Skeleton Crew are out for revenge!	Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	370
		Streets Of Poison, Sold on Ice			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	372
		Streets Of Poison, Cross Purposes			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	376
		Streets Of Poison, Grand Stand Play			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	378	07148602453813
		Lair of the Ice-Worm			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	384
		Going to the Dogs			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	385	07148602453805
Dan Panosian		For Righteousness's Sake			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	386
Dan Panosian		The Superia Stratagem, Part 1: Maiden Voyage / The Masque Club			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	387
		The Superia Stratagem, Part 2: Deep Sixed			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	388
		The Gift / The Parker Legacy, Part One: A Shock to the System / The Morning After			Marvel Comics	The Amazing Spider-Man, Vol. 1	J.M. DeMatteis	400	75960602457540021
		Man And Wolf, Part 5: Leader of the Pack / Fight On Skull Mountain			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	406
		Diamonds Are For Vengeance			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	410
		The Arena			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	411	75960602453741111
		Disguise The Limit			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	412	75960602453741211
		War Zones		This is a flashback tale from early 1941.   It takes place about one year before the Invaders were formed and chronicles Captain America's first encounter with the Sub-Mariner.   Namor kidnaps President Roosevelt leading Cap to battle the Sub-Mariner. After fighting the two team up to combat Nazi spies who were also trying to abduct the President.	Marvel Comics	Captain America, Vol. 1	Roy Thomas	423	75960602453742311
	Dave Hoover	Fighting Chance, Snake, Rattle, and Roll			Marvel Comics	Captain America, Vol. 1	Mark Gruenwald	435	75960602453743511
		Happy Birthday, Part 3		Peter is lost in time, and needs Dr. Strange's help to get back where he belongs.  Once there, he needs to prevent the catastrophe he witnessed.  If he survives that, there's a birthday party waiting for him back home.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	500	75960604716150011
Salvador Larroca	Salvador Larroca	Fix Me, Part 1		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA Variant Cover by MARKO DJURDJEVIC Why should Tony Stark be the one to benefit from all of his technology? What right does Stark have to keep his miracles to himself? A familiar threat in other corners of the Marvel Universe comes demanding answers- -- and salvation -- from Iron Man. And because it's not enough to remake the world with free and limitless energy, Stark Resilient goes after the challenge of remaking another world: ASGARD. By Matt & Salva & Frankie & Joe. 32 PGS./Rated A ?$3.99	Marvel Comics	Invincible Iron Man	Matt Fraction	501	75960606427450111
Salvador Larroca	Salvador Larroca	Fix Me, Part Two: The God Number		Written by Matt Fraction Art & Cover by Salvador Larroca Variant Cover by MARKO DJURDJEVIC Captain America 70th Anniversary Variant Cover by MIKE DEL MUNDO FIX ME Part Two! Doctor Otto Octavius is dying, and the only man that can help him is Tony Stark. Will Stark save the life of a madman, if it means sparing the lives of everyone in Broxton that Doc Ock will kill if he refuses? By Matt & Salva & Frankie & Joe. 32 PGS./Rated A	Marvel Comics	Invincible Iron Man	Matt Fraction	502	75960606427450211
Salvador Larroca	Salvador Larroca	Fear Itself - Fear Itself, Part 1: City of Light, City of Stone		Written by MATT FRACTION Art and Cover by SALVADOR LARROCA Cover by DAVID YARDIN X-Men Evolutions Variant by BRANDON PETERSON FEAR ITSELF TIE-IN FEAR ITSELF reaches its hand deep into the heart of the City of Lights! Iron Man races to Paris, France, to encounter one of 'The Worthy' waiting there for him. How will the ultimate man of science react to a city turned to stone? And if that weren't bad enough, the world is going mad as the avatars of the Serpent start their rampages. How resilient is Resilient? How strong is iron? 32 PGS./Rated A	Marvel Comics	Invincible Iron Man	Matt Fraction	504	75960606427450411
Salvador Larroca	Salvador Larroca	Fear Itself - Fear Itself, Part Two: Cracked Actor		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA FEAR ITSELF TIE-IN! As the Iron Man cast reels from last issue's stunning events, the Golden Avenger himself begins to unravel at the seams! But when fear begins to wrap its icy fingers around the globe and the people need Iron Man more than ever, will Tony Stark be able to answer the call?  32 PGS./Rated A	Marvel Comics	Invincible Iron Man	Matt Fraction	505	75960606427450511
Salvador Larroca	Salvador Larroca	Fear Itself - Fear Itself, Part Four: Fog of War		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA FEAR ITSELF TIE-IN The heroes' darkest hour is at hand, and Tony Stark gets to work turning the tide of FEAR ITSELF. And as if things weren't grim enough - RESCUE engages HAMMER INDUSTRIES in the ruins of Paris as one of the Serpent's avatars goes on the hunt? 32 PGS./Rated A ?$3.99	Marvel Comics	Invincible Iron Man	Matt Fraction	507	75960606427450711
Salvador Larroca	Salvador Larroca	Shattered Heroes - Demon, Part 1: The Beast In Me		Written by MATT FRACTION Art & Cover by SALVADOR LARROCA Marvel Comics 50th Anniversary Variant by MIKE CHOI ? With FEAR ITSELF over, Tony Stark must deal with the consequences of his startling actions. ? Hounded by the media, can Stark overcome his Demon? 32 PGS./Rated T+	Marvel Comics	Invincible Iron Man	Matt Fraction	510	75960606427451011
Salvador Larroca	Salvador Larroca	Demon, Part 5: Melt		Matt Fraction (W) ? Salvador Larroca (A/C) ? Tony Stark Is Called Out For His Actions During Fear Itself! ? The Mandarin On American Soil! ? Has Bethany Cabe Found The Mole Or Has The Mole Found Bethany Cabe? 32 Pgs./Rated T+ ?$3.99	Marvel Comics	Invincible Iron Man	Matt Fraction	514	75960606427451411
Salvador Larroca	Salvador Larroca	Long Way Down, Part 4: The Work		The New Iron Man explodes into action! - Spymaster's rampage within Stark Resilient comes to its bloody end! - THE ASSASSINATION OF TONY STARK!	Marvel Comics	Invincible Iron Man	Matt Fraction	519	75960606427451911
Salvador Larroca	Salvador Larroca	The Future, Part 1: The Demolished Man		THE FUTURE begins here: - A prisoner of MANDARIN CITY! - Can Rescue, IM2.0, and War Machine team up and not kill one another while Tony Stark builds the Mandarin's ultimate weapon?	Marvel Comics	Invincible Iron Man	Matt Fraction	521	75960606427452111
Salvador Larroca	Salvador Larroca	The Future, Part 6: Independence Day		- TONY and STANE versus MANDARIN for all the marbles! - RESCUE and IRON MAN 2.0 versus HAMMER!	Marvel Comics	Invincible Iron Man	Matt Fraction	526	75960606427452611
	Ron Garney	Civil War - The War at Home, Part 2: The Night the War Came Home		Peter's identity is out in the open, and he's not entirely thrilled with the reactions he's getting. The Daily Bugle is suing him for misrepresentation, and Iron Man has drafted him to a task force designed to hunt down unregistered heroes. All in all, it's not one of his better days, and he's had some REALLY bad ones.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	533	75960604716153311
	Ron Garney	Civil War - The War at Home, Part 3		Spider-Man is one of the members of a convoy carrying prisoners to their incarceration.  He's taking point because Tony wants him to use the spider-sense that he's never told Tony about.  Sure enough, trouble hits, both from Cap's team and from another, unidentified party.  Spider-Man ends up facing off against Cap, which makes him question his role in events even more.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	534	75960604716153411
		Civil War - The War At Home, Part 4		The Civil War is leaving Peter Parker with many sleepless nights, and when he hears that Stark Enterprises and Fantastic Four Inc. have been awarded huge no-bid contracts for a superhuman detention facility, he begins to wonder about Tony's motives.  Confronting him about it, Peter asks to see the prison that's been constructed in the Negative Zone.While the prison is hardly inhumane, Peter isn't happy with the fact that the prisoners are kept in a legal and literal limbo, without any access to the judicial system or due process.  They are exiled to this prison until they register with no trial, or other opportunity for release.After having seen this, Peter comes to the realization that he's on the wrong side of the war.  But how long will he have to get Aunt May and Mary Jane away from Tony before he realizes what Peter is up to?	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	535	75960604716153511
		Civil War - The War at Home, Part 5		Peter has decided he joined the wrong side, and Tony isn't happy to see him leave.  Once he has his family in a place of relative safety, he heads back out to publicly decry the act and what it stands for.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	536	75960604716153611
	Ron Garney	Civil War - The War at Home, Part 6		Spider-Man has made himself a very visible target.  He soon finds himself heavily sought by old friends, new enemies, new allies, and some of his oldest enemies.  If he's not careful, his focus on the Civil War is going to make him neglect those closest to him.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	537	75960604716153711
	John Watson	Civil War, Street Fighting		Johnny is still in the hospital, and Ben takes the first shift in keeping him entertained to aid his recovery. He keeps him up to date on the progress of Thor's hammer, still sitting in the Oklahoma desert. When his shift ends, he finds himself on Yancy Street, talking down the agitated locals to let law enforcement through to do their jobs. He hasn't decided which side of the debate he's on. Meanwhile, someone with the initials D.B. arrives in Oklahoma and takes Thor's hammer without resistance or hesitation.	Marvel Comics	Fantastic Four, Vol. 3	J. Michael Straczynski	538	75960604456653811
		Civil War - The War at Home, Part 7		Peter heads out to the final battle in the Civil War.  Once it's all over, he returns home, exhausted, and completely unprepared for the surprise that awaits him.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	538	75960604716153811
	John Watson	Civil War, Decisions Made		As the Civil War rages, the Thinker and the Puppet Master have cooked up a scheme to eliminate a large number of heroes all at once. They feed Captain America's side information about the Government's prisoner transportation, to ensure that he'll be able to attack it. With both sides fighting each other, the Puppet Master can control all of the non-super-powered people nearby to cause chaos, and attempt to destroy the transports while the captive heroes are still inside. Ben Grimm is caught in the middle of the conflict, and is the only one to figure out what's going on. When a member of the Yancy Street gang is killed by the explosion, Ben makes his decision... he doesn't believe in the registration act and can't support it, but won't fight against the government either so he decides to leave the country.	Marvel Comics	Fantastic Four, Vol. 3	J. Michael Straczynski	539	75960604456653911
	Adi Granov	Civil War, Many Annoying Things, None of Them French		Ben Grimm heads to Paris to protest the registration act, and is soon embroiled in an old school, good vs. evil superhero team up.  He may not miss America as much as he thought he would.	Marvel Comics	Fantastic Four, Vol. 3	J. Michael Straczynski	541	75960604456654111
	Marko Djurdjevic	Spider-Man: One More Day, Part 1		Aunt May is in serious condition, and Peter and MJ can't afford to pay for it.  Peter knows someone who can, but they're not really on speaking terms right now, so it may be hard to ask for the help.	Marvel Comics	The Amazing Spider-Man, Vol. 2	J. Michael Straczynski	544	75960604716154411
		Brand New Day, Part 3: Blood Ties		Spider-Man raced across town, but arrived too late to save the members of the Karnelli mob family from the Devil's Breath poison.  But the poison is keyed only to kill blood relatives of Bruno Karnelli.  But when he figures out that Negative's plan was to wipe out the Karnelli bloodline, he has to race across town where the wives and children of the mobsters think they're just attending the circus.  J. Jonah Jameson has finally recovered from his heart attack... but how will he react to the news that while he was incapacitated, his wife sold their entire stake in the paper to Dexter Bennett?	Marvel Comics	The Amazing Spider-Man, Vol. 2	Dan Slott	548	75960604716154811
	Barry Kitson	Face Front, Part 2: 'Nuff Said		Spider-Man and the Fantastic Four are trying to bring peace to a world they destabilized generations ago, but it's not easy with unrest among the group.  Once they have found a way to deal with the war, they move on to the elephant in the room: the mindwipe that prevents people from knowing Spider-Man's identity.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Dan Slott	591	75960604716159111
	Gerald Parel	Two Americas, Conclusion		Written by ED BRUBAKER Penciled by LUKE ROSS Cover by GERALD PAREL IRON MAN BY DESIGN VARIANT COVER by TBA NOMAD backup by SEAN MCKEEVER & DAVID BALDEON The dramatic conclusion of 'Two Americas' by acclaimed Cap scribe Ed Brubaker and Luke Ross. The final battle between two Captain Americas will leave each changed...and a new secret enemy will be revealed. 40 PGS./Rated T+ ?$3.99	Marvel Comics	Captain America, Vol. 5	Ed Brubaker; Sean McKeever	605	75960605652160511
Paul Azaceta		The Gauntlet - Power to the People, Part Three		Electro has been catapulted from lowly super-villain to spokesman for a legion of taxpaying citizens who are angered when they see big businesses bailed out using taxpayer dollars.  What his followers aren't aware of, however, is that he's shaken down the target of New York's ire - Dexter Bennet - and used the money to pay the Mad Thinker to stop the degradation of his powers.  But in the process, he's actually become super-charged.  Spidey's webs used to insulate against Electro's mastery of electricity but now he's juiced up so strongly that his power is shooting up Spidey's webs.  And with the disenfranchised of the city turning on ever appliance and light within their reach, he's got all of the city's power at his disposal - and he's turning it on Dexter Bennet.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Mark Waid	614	75960604716161411
Marcos Martin; Paul Azaceta	Marko Djurdjevic	Origin of the Species, Part Four		Spider-Man believes the baby is dead, and is going on a rampage, making sure every last member of his rogue's gallery on the streets is put behind bars. He's got them running, and running scared, not realizing that the baby is alive.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Mark Waid; Stan Lee	645	75960604716164511
Paul Azaceta; Max Fiumara; Karl Kesel; Adam Archer; Jm Ken Niimura; Michael del Mundo	Marko Djurdjevic	Another Door / Honor Thy Father / Stand Off / Norah's Last Night in NYC / J. Jonah Jameson - the Musical / American Hero / You Again		<b>Another Door</b> - Peter is trying to sort out his relationship with Carlie when he is distracted by the return of Overdrive.<br><br><b>Honor Thy Father</b> - Vin Gonzales now answers to Norman Osborn, and it's up to Harry to defend himself and the baby.<br><br><b>Stand Off</b> - J. Jonah Jameson passes a new city ordinance designed to inadvertently ban superheroes, but the side effects are hard to stomach.<br><br><b>Norah's Last Night in NYC</b> - Norah Winters is debating going back home, when Spider-Man talks her out of it.<br><br><b>American Hero</b> - Flash Thompson is mugged, much to the dismay of the muggers.<br><br><b>You Again?</b> - When Brand New Day kicked off, Peter was seen kissing a seemingly random woman.  Now we see that this encounter wasn't nearly as random as we initially thought.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Fred Van Lente; Marc Guggenheim; Bob Gale; Dan Slott; Mark Waid; Joe Kelly; Zeb Wells	647	75960604716164711
Clayton Henry		Big Time, Part 1		<b>Big Time</b> - Peter is desperate for a place to crash, but finds it hard to line something up.  However, that isn't a concern much longer, as Marla Jameson has introduced him to someone who can help him turn his life around.<br><br><b>The Girl's All Right With Me...</b> - Spider-Girl lent a hand during Doctor Octopus' organized attack on New York, and learned a few things about Spider-Man and herself.	Marvel Comics	The Amazing Spider-Man, Vol. 2	Dan Slott; Paul Tobin	648	75960604716164811
	Humberto Ramos	Big Time, The Sting That Never Goes Away		Written by DAN SLOTT Pencils & Cover by HUMBERTO RAMOS Back-up Story pencils by STEFANO CASELLI Tron Variant by MARK BROOKS The HOBGOBLIN'S fight for power continues!  Which side will SPIDER-MAN and the BLACK CAT be on... and why?  Also: a surprise for AUNT MAY, and the SPIDEY versus KINGPIN rematch you've been dying to see! Included in this issue: an 8 page story featuring the return of Mac Gargan... as THE SCORPION! 40 PGS./Rated A	Marvel Comics	The Amazing Spider-Man, Vol. 2	Dan Slott	651	75960604716165111
Stefano Caselli	Stefano Caselli	Big Time, Part Two: All You Love Will Die / Lock And / Or Key: Part Two		Written by DAN SLOTT Pencils & Cover by STEFANO CASELLI REVENGE OF THE SPIDER-SLAYER Part 2 of 3 'All You Love Will Die' The SPIDER-SLAYER'S assault escalates as his INSECT ARMY descends on Manhattan!  No one in Spidey's life is safe-from the offices of the Daily Bugle to the Mayor's staff at City Hall!  It's way more than our wall-crawler can handle. Good thing he's also a member of the NEW AVENGERS!  Guest-starring LUKE CAGE, JESSICA JONES, MS. MARVEL, MOCKINGBIRD, IRON FIST? and a few surprises. 40 PGS./Rated A	Marvel Comics	The Amazing Spider-Man, Vol. 2	Fred Van Lente	653	75960604716165311
		Great Heights, Part One: Trust Issues		Written by DAN SLOTT Penciled by GIUSEPPE CAMUNCOLI Cover by GIUSEPPE CAMUNCOLI Marvel Comics 50th Anniversary Variant by PASQUAL FERRY THE VULTURE RETURNS! It's a brave new city! As the costs of Spider-Island continue to rise, Spidey's first enemy returns! High-rise robberies and teenaged jumpers force Spidey into a high flying new adventure?with a less than friendly partner. 32 PGS./Rated T	Marvel Comics	The Amazing Spider-Man, Vol. 2	Dan Slott	674	75960604716167411
		Great Heights, Part Two: Partners in Crime		GIUSEPPE CAMUNCOLI joins the regular Spidey artist rotation in this high flying free falling ride through Dan Slott's post Spider-Island world. The VULTURE IS BACK and making kids do his high flying dirty work for him. With Spidey back on the cops' bad side will he be able to stop this flying Fagan from twisting young runaways before another boy falls from the sky?    32 PGS./Rated T	Marvel Comics	The Amazing Spider-Man, Vol. 2	Dan Slott	675	75960604716167511
